Geolocation,Major Occupation,year,quarter,Female,Male
REGION IVA,Service and Sales Workers,2021,Q1,676.072,585.1603333333334
REGION IVA,Service and Sales Workers,2020,Q2,665.378,536.816
REGION III,Service and Sales Workers,2020,Q1,663.509,451.317
REGION III,Service and Sales Workers,2020,Q3,648.06,386.091
REGION III,Service and Sales Workers,2019,Q3,645.716,427.769
NCR,Service and Sales Workers,2020,Q4,638.461,537.231
REGION III,Service and Sales Workers,2019,Q4,615.717,428.251
REGION IVA,Managers,2018,Q3,614.481,541.114
NCR,Service and Sales Workers,2019,Q3,614.0,618.0
NCR,Service and Sales Workers,2020,Q3,611.435,603.139
REGION III,Service and Sales Workers,2021,Q2,606.0106666666667,436.06866666666673
NCR,Service and Sales Workers,2019,Q1,605.185,517.466
REGION III,Service and Sales Workers,2019,Q2,603.991,438.004
REGION III,Service and Sales Workers,2021,Q3,601.6516666666666,393.103
REGION III,Service and Sales Workers,2020,Q4,600.537,450.964
REGION IVA,Elementary Occupations,2021,Q4,588.468,1015.1550000000001
NCR,Service and Sales Workers,2019,Q4,585.93,554.993
NCR,Service and Sales Workers,2019,Q2,583.954,564.047
NCR,Service and Sales Workers,2020,Q1,575.75,604.652
REGION IVA,Managers,2018,Q1,572.959,540.187
REGION IVA,Managers,2018,Q2,570.761,496.736
REGION IVA,Managers,2018,Q4,556.547,506.784
PHILIPPINES,Craft and Related Trades Workers,2021,Q4,549.8473333333334,2661.9166666666665
PHILIPPINES,Technicians and Associate Professionals,2021,Q1,548.1333333333333,814.1153333333333
PHILIPPINES,Craft and Related Trades Workers,2021,Q3,547.5643333333334,2696.2196666666664
REGION VII,Service and Sales Workers,2021,Q2,543.789,297.44599999999997
REGION III,Service and Sales Workers,2019,Q1,530.42,395.657
NCR,Service and Sales Workers,2018,Q4,525.902,490.274
REGION III,Service and Sales Workers,2021,Q1,525.44,456.575
REGION IVA,Service and Sales Workers,2018,Q3,519.589,444.228
NCR,Service and Sales Workers,2018,Q1,519.266,519.71
PHILIPPINES,Craft and Related Trades Workers,2018,Q2,518.554,2888.879
REGION IVA,Elementary Occupations,2021,Q2,517.038,1156.352
PHILIPPINES,Craft and Related Trades Workers,2019,Q2,507.589,2889.548
REGION IVA,Service and Sales Workers,2018,Q4,505.902,512.85
NCR,Service and Sales Workers,2018,Q3,505.897,503.214
REGION IVA,Elementary Occupations,2020,Q1,503.355,992.846
PHILIPPINES,Craft and Related Trades Workers,2020,Q1,498.593,2757.529
PHILIPPINES,Craft and Related Trades Workers,2019,Q3,498.443,2813.962
PHILIPPINES,Craft and Related Trades Workers,2018,Q3,498.019,2840.803
PHILIPPINES,Craft and Related Trades Workers,2019,Q1,493.248,2941.874
NCR,Service and Sales Workers,2020,Q2,491.2,527.885
REGION IVA,Service and Sales Workers,2018,Q2,488.465,465.583
REGION IVA,Elementary Occupations,2019,Q3,488.247,992.23
NCR,Service and Sales Workers,2021,Q1,486.9313333333334,586.4876666666667
NCR,Clerical Support Workers,2019,Q4,484.717,323.923
NCR,Service and Sales Workers,2018,Q2,475.251,503.853
NCR,Clerical Support Workers,2021,Q4,473.298,359.715
NCR,Managers,2018,Q4,473.166,448.532
REGION IVA,Elementary Occupations,2019,Q2,471.961,893.695
REGION IVA,Service and Sales Workers,2018,Q1,469.646,458.048
NCR,Clerical Support Workers,2020,Q1,469.327,329.908
REGION IVA,Elementary Occupations,2020,Q3,467.977,931.649
